Date,Match,BO,Run,Boundary,SR,Out
22/10/17,IND vs NZ,3,121 (125),9/2,96.8,catch
01/10/17,IND vs AUS,3,39 (55),2/0,70.9,catch
28/09/17,IND vs AUS,3,21 (21),3/0,100,bowled
24/09/17,IND vs AUS,3,28 (35),2/0,80,catch
21/09/17,IND vs AUS,3,92 (107),8/0,85.9,bowled
17/09/17,IND vs AUS,3,0 (4),0/0,0,catch
03/09/17,IND vs SL,3,110 (116),9/0,94.8,not out
31/08/17,IND vs SL,3,131 (96),17/2,136.4,catch
27/08/17,IND vs SL,3,3 (11),0/0,27.2,catch
24/08/17,IND vs SL,5,4 (2),1/0,200,bowled
20/08/17,IND vs SL,3,82 (70),10/1,117.1,not out
06/07/17,IND vs WI,3,111 (115),12/2,96.5,not out
02/07/17,IND vs WI,3,3 (12),0/0,25,catch
30/06/17,IND vs WI,3,11 (22),2/0,50,catch
25/06/17,IND vs WI,3,87 (66),4/4,131.8,catch
23/06/17,IND vs WI,3,32 (47),1/0,68,not out
18/06/17,IND vs PAK,3,5 (9),0/0,55.5,catch
15/06/17,IND vs BAN,3,96 (78),13/0,123,not out
11/06/17,IND vs RSA,3,76 (101),7/1,75.2,not out
08/06/17,IND vs SL,3,0 (5),0/0,0,catch
04/06/17,IND vs PAK,3,81 (68),6/3,119.1,not out
28/05/17,IND vs NZ,3,52 (55),6/0,94.5,not out
22/01/17,IND vs ENG,3,55 (63),8/0,87.3,catch
19/01/17,IND vs ENG,3,8 (5),2/0,160,catch
15/01/17,IND vs ENG,3,122 (105),8/5,116.1,catch
29/10/16,IND vs NZ,3,65 (76),2/1,85.5,catch
26/10/16,IND vs NZ,3,45 (51),2/1,88.2,catch
23/10/16,IND vs NZ,3,154 (134),16/1,114.9,not out
20/10/16,IND vs NZ,3,9 (13),1/0,69.2,catch
16/10/16,IND vs NZ,3,85 (81),9/1,104.9,not out
08/09/16,IND vs HK,3,65 (76),2/1,85.53,
23/01/16,IND vs AUS,3,8 (11),1/0,72.7,catch
20/01/16,IND vs AUS,3,106 (92),11/1,115.2,Out Type
17/01/16,IND vs AUS,3,117 (117),7/2,100,catch
15/01/16,IND vs AUS,3,59 (67),4/0,88,run out
12/01/16,IND vs AUS,3,91 (97),9/1,93.8,catch
25/10/15,IND vs RSA,3,7 (6),0/1,116.6,catch
22/10/15,IND vs RSA,3,138 (140),6/5,98.5,catch
18/10/15,IND vs RSA,3,77 (99),5/0,77.7,catch
14/10/15,IND vs RSA,4,12 (18),0/0,66.6,catch
11/10/15,IND vs RSA,4,11 (18),0/0,61.1,catch
24/06/15,IND vs BAN,3,25 (35),1/0,71.4,bowled
21/06/15,IND vs BAN,3,23 (27),3/1,85.1,lbw
18/06/15,IND vs BAN,3,1 (4),0/0,25,catch
26/03/15,IND vs AUS,3,1 (13),0/0,7.6,catch
19/03/15,IND vs BAN,3,3 (8),0/0,37.5,catch
14/03/15,IND vs ZIM,3,38 (48),4/0,79.1,bowled
10/03/15,IND vs IRE,3,44 (42),4/1,104.7,not out
06/03/15,IND vs WI,3,33 (36),5/0,91.6,catch
28/02/15,IND vs UAE,3,33 (41),5/0,80.4,not out
22/02/15,IND vs RSA,3,46 (60),3/0,76.6,catch
15/02/15,IND vs PAK,3,107 (126),8/0,84.9,catch
10/02/15,IND vs AFG,3,5 (9),1/0,55.5,catch
08/02/15,IND vs AUS,3,18 (20),3/0,90,bowled
30/01/15,IND vs ENG,3,8 (19),0/0,42.1,catch
26/01/15,IND vs AUS,4,3 (9),0/0,33.3,not out
20/01/15,IND vs ENG,4,4 (8),0/0,50,catch
18/01/15,IND vs AUS,4,9 (16),0/0,56.2,catch
16/11/14,IND vs SL,4,139 (126),12/3,110.3,not out
13/11/14,IND vs SL,4,66 (64),6/0,103.1,run out
09/11/14,IND vs SL,4,53 (61),4/1,86.8,catch
06/11/14,IND vs SL,4,49 (44),2/2,111.3,catch
02/11/14,IND vs SL,4,22 (21),2/0,104.7,catch
17/10/14,IND vs WI,3,127 (114),13/3,111.4,run out
11/10/14,IND vs WI,4,62 (78),5/0,79.4,catch
08/10/14,IND vs WI,3,2 (5),0/0,40,catch
05/09/14,IND vs ENG,3,13 (21),2/0,61.9,catch
02/09/14,IND vs ENG,3,1 (3),0/0,33.3,not out
30/08/14,IND vs ENG,3,40 (50),2/1,80,catch
27/08/14,IND vs ENG,3,0 (3),0/0,0,catch
02/03/14,IND vs PAK,3,5 (11),0/0,45.4,catch
28/02/14,IND vs SL,3,48 (51),4/1,94.1,bowled
26/02/14,IND vs BAN,3,136 (122),16/2,111.4,bowled
31/01/14,IND vs NZ,3,82 (78),7/3,105.1,catch
28/01/14,IND vs NZ,2,2 (10),0/0,20,catch
25/01/14,IND vs NZ,3,6 (20),1/0,30,catch
22/01/14,IND vs NZ,3,78 (65),7/2,120,catch
19/01/14,IND vs NZ,3,123 (111),11/2,110.8,catch
08/12/13,IND vs RSA,3,0 (5),0/0,0,catch
05/12/13,IND vs RSA,3,31 (35),5/0,88.5,catch
27/11/13,IND vs WI,3,19 (18),3/0,105.5,catch
24/11/13,IND vs WI,3,99 (100),9/0,99,catch
21/11/13,IND vs WI,3,86 (84),9/2,102.3,catch
02/11/13,IND vs AUS,3,0 (3),0/0,0,run out
30/10/13,IND vs AUS,3,115 (66),18/1,174.2,not out
19/10/13,IND vs AUS,3,68 (73),9/0,93.1,catch
16/10/13,IND vs AUS,3,100 (52),8/7,192.3,not out
13/10/13,IND vs AUS,3,61 (85),6/0,71.7,lbw
28/07/13,IND vs ZIM,3,68 (88),5/1,77.2,not out
26/07/13,IND vs ZIM,3,14 (18),2/0,77.7,catch
24/07/13,IND vs ZIM,3,115 (108),13/1,106.4,catch
11/07/13,IND vs SL,3,2 (5),0/0,40,catch
09/07/13,IND vs SL,3,31 (52),4/0,59.6,lbw
05/07/13,IND vs WI,3,102 (83),13/2,122.8,catch
02/07/13,IND vs SL,4,2 (5),0/0,40,catch
30/06/13,IND vs WI,3,11 (21),0/1,52.3,catch
23/06/13,IND vs ENG,3,43 (34),4/1,126.4,catch
20/06/13,IND vs SL,3,58 (64),4/1,90.6,not out
15/06/13,IND vs PAK,3,22 (27),3/0,81.4,not out
11/06/13,IND vs WI,3,22 (18),4/0,122.2,bowled
06/06/13,IND vs RSA,3,31 (41),2/0,75.6,catch
04/06/13,IND vs AUS,3,9 (12),1/0,75,catch
01/06/13,IND vs SL,3,144 (120),11/3,120,catch
27/01/13,IND vs ENG,3,0 (1),0/0,0,catch
23/01/13,IND vs ENG,3,26 (33),3/0,78.7,catch
19/01/13,IND vs ENG,3,77 (79),9/2,97.4,not out
15/01/13,IND vs ENG,3,37 (54),1/1,68.5,catch
11/01/13,IND vs ENG,3,15 (22),1/0,68.1,catch
06/01/13,IND vs PAK,3,7 (17),1/0,41.1,catch
03/01/13,IND vs PAK,3,6 (9),1/0,66.6,catch
30/12/12,IND vs PAK,3,0 (5),0/0,0,bowled
04/08/12,IND vs SL,3,23 (35),2/0,65.7,lbw
31/07/12,IND vs SL,3,128 (119),12/1,107.5,not out
28/07/12,IND vs SL,3,38 (65),2/0,58.4,catch
24/07/12,IND vs SL,3,1 (5),0/0,20,catch
21/07/12,IND vs SL,3,106 (113),9/0,93.8,catch
18/03/12,IND vs PAK,3,183 (148),22/2,123.6,catch
16/03/12,IND vs BAN,3,66 (82),5/0,80.4,bowled
13/03/12,IND vs SL,3,108 (120),7/0,90,catch
27/02/12,IND vs SL,4,133 (86),16/2,154.6,not out
25/02/12,IND vs AUS,4,21 (27),2/0,77.7,catch
20/02/12,IND vs SL,4,66 (83),2/0,79.5,catch
18/02/12,IND vs AUS,3,12 (25),0/0,48,catch
13/02/12,IND vs SL,3,15 (25),1/0,60,lbw
11/02/12,IND vs AUS,3,18 (28),1/0,64.2,catch
07/02/12,IND vs SL,3,77 (94),8/1,81.9,run out
04/02/12,IND vs AUS,3,31 (34),3/0,91.1,catch
11/12/11,IND vs WI,5,80 (85),5/0,94.1,catch
08/12/11,IND vs WI,6,23 (11),3/0,209,not out
05/12/11,IND vs WI,4,20 (30),3/0,66.6,lbw
02/12/11,IND vs WI,4,117 (123),14/0,95.1,catch
29/11/11,IND vs WI,4,3 (6),0/0,50,bowled
25/10/11,IND vs ENG,3,0 (5),0/0,0,bowled
23/10/11,IND vs ENG,4,86 (99),11/0,86.8,not out
20/10/11,IND vs ENG,4,35 (30),5/0,116.6,lbw
17/10/11,IND vs ENG,4,112 (98),16/0,114.2,not out
14/10/11,IND vs ENG,4,37 (63),0/0,58.7,catch
16/09/11,IND vs ENG,4,107 (93),9/1,115,hit wicket
11/09/11,IND vs ENG,4,16 (36),1/0,44.4,catch
09/09/11,IND vs ENG,4,7 (18),0/0,38.8,catch
06/09/11,IND vs ENG,4,9 (9),0/0,100,catch
03/09/11,IND vs ENG,4,55 (73),4/0,75.3,bowled
16/06/11,IND vs WI,3,94 (104),10/0,90.3,run out
13/06/11,IND vs WI,3,22 (33),1/0,66.6,stumped
